,title,link,salary_min,salary_max,currency,site
0,Аналитик направления цифрового маркетинга (BI\SQL\Python),https://hh.ru/vacancy/49881796?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,170000.0,210000.0,руб.,https://hh.ru
1,Python разработчик junior,https://hh.ru/vacancy/50654757?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,30000.0,60000.0,руб.,https://hh.ru
2,Стажёр-программист Python / Python Developer Trainee,https://hh.ru/vacancy/50927402?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,25000.0,,руб.,https://hh.ru
3,Стажер-разработчик Python,https://hh.ru/vacancy/50955297?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,20000.0,50000.0,руб.,https://hh.ru
4,Junior Data Engineer (Python),https://hh.ru/vacancy/50637406?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,150000.0,190000.0,руб.,https://hh.ru
5,Python разработчик,https://hh.ru/vacancy/49590587?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,,380000.0,руб.,https://hh.ru
6,Разработчик Solidity/Разработчик Rust/Разработчик Go/Разработчтик python(удаленно),https://hh.ru/vacancy/48457284?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,600000.0,,руб.,https://hh.ru
7,Программист Python,https://hh.ru/vacancy/49592394?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,60000.0,200000.0,руб.,https://hh.ru
8,Data engineer / Python developer,https://hh.ru/vacancy/50957449?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,200000.0,500000.0,руб.,https://hh.ru
9,"Python-разработчик (Django, DRF)",https://hh.ru/vacancy/39736489?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,60000.0,150000.0,руб.,https://hh.ru
10,Программист Python (linux),https://hh.ru/vacancy/51623174?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,60000.0,110000.0,руб.,https://hh.ru
11,Разработчик Python,https://hh.ru/vacancy/51499348?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python,80000.0,,руб.,https://hh.ru
